,,close,high,low,open,volume
SHOP,3/18/2019,205.77,205.92,201.45,204.5,1248797
SHOP,3/19/2019,202.09,208,197.6528,207.7,2215400
SHOP,3/20/2019,201.34,203.1,198.73,200.53,1401642
SHOP,3/21/2019,205,205.1999,198.815,200.32,1721076
SHOP,3/22/2019,198.75,204.69,198.61,204.4,1530089
SHOP,3/25/2019,201.45,202.7499,196.47,198.05,1257642
SHOP,3/26/2019,204.37,207.41,202.73,203.63,1165975
SHOP,3/27/2019,200.08,205.72,196.61,205.66,1020415
SHOP,3/28/2019,203.45,203.75,197,200.83,1119737
SHOP,3/29/2019,206.62,207.5,203.19,205.88,810360
SHOP,04/01/2019,206.04,210.1,203.12,208.43,1103231
SHOP,04/02/2019,201.46,206.05,198.45,205.6,2454856
SHOP,04/03/2019,205.12,205.8,198.89,201.98,2011024
SHOP,04/04/2019,194.75,205.01,190.38,204.54,4764819
SHOP,04/05/2019,196.65,198.02,194.89,195.59,1489933
SHOP,04/08/2019,200.24,200.89,195.32,196.65,1291294
SHOP,04/09/2019,203.96,204.22,197.3406,198.26,1248203
SHOP,04/10/2019,206.5,207.44,202.51,204.36,880257
SHOP,04/11/2019,210.99,211.54,206.31,207.58,1334716
SHOP,04/12/2019,214.83,214.93,212.11,212.82,1196951
SHOP,4/15/2019,218.03,219.9,213.62,214.83,1759760
SHOP,4/16/2019,215.4,221.82,213.61,219.78,1338197
SHOP,4/17/2019,217.05,218.3304,211.31,216.8,1064181
SHOP,4/18/2019,220.72,220.78,213.13,217.13,1287694
SHOP,4/22/2019,224.29,225.99,219.17,220,1316576
SHOP,4/23/2019,223.44,227.39,222.1,226.5,1881306
SHOP,4/24/2019,219.81,224.6,218.6236,224.6,2023317
SHOP,4/25/2019,218.97,222.19,216.62,220.69,1667464
SHOP,4/26/2019,222.28,225.18,219,219,1388701
SHOP,4/29/2019,225.79,228.7402,223.53,225.33,1940327
SHOP,4/30/2019,243.53,247.5,226.44,226.44,6223409
SHOP,05/01/2019,245.16,252.3015,237.39,242.85,3186659
SHOP,05/02/2019,255.54,260.82,245.5,245.88,4054159
SHOP,05/03/2019,264.03,266.4,254.79,259,3349941
SHOP,05/06/2019,265.52,266.72,255.12,257.2,2916946
SHOP,05/07/2019,258.69,266.5,254.7,264.36,2589364
SHOP,05/08/2019,261.51,264.62,257.51,258.7,1847475
SHOP,05/09/2019,260.62,261.3595,254.12,258.88,1831284
SHOP,05/10/2019,258.83,262.99,252.64,260.43,1675280
SHOP,5/13/2019,250.79,253.0634,245.62,247.91,1938822
SHOP,5/14/2019,253.15,254.02,242.23,245,2097137
SHOP,5/15/2019,264.16,265.42,250.04,250.61,1931635
CARG,3/15/2019,38.52,39.39,38.4,38.99,1172404
CARG,3/18/2019,39.2,40.91,38.94,39.41,1145825
